;clean_tw;tw_text
0;democrat smile dc freedom caucu help club growth heritag save plan parenthood amp ocar;"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!"
1;gener kelli great job border number way mani even tri come anymor;General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.
2;race dnc chairman cours total rig berni guy like berni never chanc clinton demand perez;"The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!"
3;first time fail take ad bad one help save fail reput tri report accur amp fairli;"For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!"
4;russia talk fake news put dem play medium order mask big elect defeat illeg leak;Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!
5;big dinner governor tonight white hous much discus includ healthcar;Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.
6;congressman john lewi spend time fix help district horribl shape fall apart;Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......
7;mention crime infest rather fals complain elect result talk talk talk action result sad;mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!
8;intellig insid clthe trump dossier complet fraud;"INTELLIGENCE INSIDERS NOW CLTHE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN"
9;congressman john lewi final focu burn crime infest innerc u use help get;Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!
10;inaugur day turn even bigger expect januaryth washington dc fun;Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!
11;go brand new trump intern hotel dc major statement;I am now going to the brand new Trump International, Hotel D.C. for a major statement.
12;anoth health insur pull back due persist financi loss obamacar plan begin;Another health insurer is pulling back due to 'persistent financial losses on #Obamacare plans.' Only the beginning! URLi
13;apoint race clinton trump;'It's just a 2-point race, Clinton 38%, Trump 36%' URLi
14;pledg american peopl;This is my pledge to the American people: URLi
15;cold war part expo evil commun virtu free market cont;Just as we won the Cold War, in part, by exposing the evils of communism and the virtues of free markets.... Cont: URLi
16;tonight timme deliv import speech live wisconsin makeamericagreatagain;Will be on @SeanHannity tonight at TIMMEE - delivering an important speech live from Wisconsin. #MakeAmericaGreatAgain
17;american voter believ elect could stolen donaldtrump due widespread voter fraud politico;"""@THEREGUL: 41% of American voters believe the  election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico"""
18;make govern honest believ first im go draintheswamp dc;I will Make Our Government Honest Again -- believe me. But first, I'm going to have to #DrainTheSwamp in DC. URLi
19;paytoplay collus coverup briberi crook draintheswamp;Pay-to-play. Collusion. Cover-ups. And now bribery? So CROOKED. I will #DrainTheSwamp. URLi
20;let crook run govt histori rememb year america lost independ draintheswamp;If we let Crooked run the govt, history will remember 2017 as the year America lost its independence. #DrainTheSwamp URLi
21;fail mention new poll lead iowa massiv point maggi haberman sad;The failing @nytimes does not mention the new @CNN Poll that has me leading Iowa by a massive 13 points - I am at 33%. Maggie Haberman, sad!
22;last person corrupt hillari clinton want run donald j trump ill end beat everi state new fox polltrump;The last person corrupt Hillary Clinton wants to run against is Donald J. Trump. I'll end up beating her in every state. New Fox Poll-Trump!
23;hillari clinton strength stamen presid need strong super smart next leader troubl;Hillary Clinton does not have the STRENGTH or STAMINA to be President. We need strong and super smart for our next leader - or trouble!
24;peopl forget polici leader like allow killer immigr drive amp pilot plane;"""@ray_aub:  @nytimes @CNN People forget the policies of leaders like @JebBush allowed 9/11 killers to immigrate, drive, &amp; pilot planes"""
25;wow;"""@ssheaver: @realDonaldTrump @nytimes @CNN URLi"" Wow!"
26;hear mayor nutter philadelphia comment toward ignor ye crude dope;"""@mysteriousLoser: @realDonaldTrump did you hear the mayor nutter of philadelphias comments towards you? Ignorance"" Yes, he is a crude dope!"
27;told magazin would never pick person year despit big favorit pick person ruin germani;I told you @TIME Magazine would never pick me as person of the year despite being the big favorite They picked person who is ruining Germany
28;rupert murdoch defend trump complet refuge paus make sen;"""Rupert Murdoch Defends Trump: 'Complete Refugee Pause' Makes Sense' "" URLi"
29;interview timm enjoy;I will be interviewed on @foxandfriends at TIMME  Enjoy!
30;trump need hold massiv protest ralli colorado hed getk amp news cycl;"""@TimeHasCome1: @WayneDupreeShow @ThePatriot143 Trump needs to hold a massive protest rally in Colorado. He'd get 100k &amp; own the news cycle"""
31;great job fox n friend morn well spoken presidenti trumptrain;"""@autoprofessor17: @realDonaldTrump Great job on Fox n Friends this morning. Very well spoken and presidential. #TrumpTrain"""
32;listen fox love much thank;"""@WVTTS1017: @realDonaldTrump just listened to you on fox. I love you so much.""  Thank you!"
33;thank rochest ralli great peopl thank;"""@AnnesLimo: @realDonaldTrump @WVTTS1017 Thanks for Rochester rally.""  Great people, thank you!"
34;big win west virginia nebraska get readi novemb crook hillari look bad crazi berni lose;Big wins in West Virginia and Nebraska. Get ready for November - Crooked Hillary, who is looking very bad against Crazy Bernie, will lose!
35;dont want hit crazi berni sander hard yet love watch crook hillari time come;I don't want to hit Crazy Bernie Sanders too hard yet because I love watching what he is doing to Crooked Hillary. His time will come!
36;goofi elizabeth warren one least effect senat entir u senat done noth;Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!
37;thank donald rumsfeld endors much appreci clinton conduct disqualifi;"Thank you to Donald Rumsfeld for the endorsement. Very much appreciated. Clinton's conduct has been ""disqualifying."""
38;hillari clinton may corrupt person ever seek presid donald j trump;"""Hillary Clinton may be the most corrupt person ever to seek the presidency.""  --   Donald J. Trump"
39;isi threaten u today decis hillari clinton made along presid obama donald j trump;"ISIS threatens us today because of the decisions Hillary Clinton has made along with President Obama.""  --  Donald J. Trump"
40;hillari lie benghazi famili crookedhillari;Hillary Lies to Benghazi Families #CrookedHillary  URLi
41;elect loom bad news clinton democrat;As election looms, some bad news for Clinton, Democrats: URLi
42;obamacar premium skyrocket crook h make wors repeal amp replac;"#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! URLi"
43;obamacar premium jump next year follow u twitter politico facebook;#Obamacare premiums to jump 25% next year: URLi  Follow us: @politico on Twitter | Politico on Facebook
44;key obamacar premium jump next year;Key Obamacare premiums to jump 25% next year: URLi
45;get vote voic fight make america great;Get out and vote! I am your voice and I will fight for you! We will make America great again! URLi
46;obamacarefail;#ObamacareFail URLi
47;obamacarefail;#ObamacareFail URLi
48;obamacar disast time repeal amp replac obamacarefail;"Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail  URLi"
49;obamacarefail;#ObamacareFail URLi
50;obamacar disast ive say begin time repeal amp replac obamacarefail;"Obamacare is a disaster - as I've been saying from the beginning. Time to repeal &amp; replace!  #ObamacareFail URLi"
51;berni sander support furiou choic tim kain repres opposit berni stand philli fight;The Bernie Sanders supporters are furious with the choice of Tim Kaine, who represents the opposite of what Bernie stands for. Philly fight?
52;tim kain alway own bank berni support outrag last choic berni fought noth;Tim Kaine is, and always has been, owned by the banks. Bernie supporters are outraged, was their last choice. Bernie fought for nothing!
53;pocahonta want vp slot badli wasnt chosen done noth senat also crook hillari hate;Pocahontas wanted V.P. slot so badly but wasn't chosen because she has done nothing in the Senate. Also, Crooked Hillary hates her!
54;leak email dnc show plan destroy berni sander mock heritag much onlin wikileak realli viciou rig;Leaked e-mails of DNC show plans to destroy Bernie Sanders. Mock his heritage and much more. On-line from Wikileakes, really vicious. RIGGED
55;crook hillari clinton destroy job manufactur pennsylvania steelwork miner husband sign nafta;Crooked Hillary Clinton has destroyed jobs and manufacturing in Pennsylvania. Against steelworkers and miners. Husband signed NAFTA.
56;funni democrat would convent pennsylvania husband kill mani job bring job back;Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs. I will bring jobs back!
57;tim kain prais tran pacif partnership push hard get approv job killer;Tim Kaine has been praising the Trans Pacific Partnership and has been pushing hard to get it approved. Job killer!
58;bring job back get wage peopl havent real wage increas almost twenti year clinton kill job;I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!
59;saw crook hillari tim kain togeth isi enemi drool dont look presidenti;Just saw Crooked Hillary and Tim Kaine together. ISIS and our other enemies are drooling. They don't look presidential to me!
60;wikileak email releas today bad sander make imposs support unless fraud;The Wikileakes e-mail release today was so bad to Sanders that it will make it impossible for him to support her, unless he is a fraud!
61;wikileak email releas today bad sander make imposs support unless fraud;The Wikileaks e-mail release today was so bad to Sanders that it will make it impossible for him to support her, unless he is a fraud!
62;thank everyon wonder review speech thursday night heart;Thank you to everyone for the wonderful reviews of my speech on Thursday night. From the heart!
63;kain support stupidest deal histori deal hillarykain;"""@OliMauritania: @realDonaldTrump Kaine supported the stupidest deal in the history of deals URLi #HillaryKaine2016"""
64;dinesh dsousa hillari america see;"""@NancyNielsenn: @realDonaldTrump Dinesh D'Sousa Hillary's America. see it"""
65;makeamericagreatagain trumppenc;#MakeAmericaGreatAgain #TrumpPence16 URLi
66;ivanka said said youll great woman makeamericagreatagain;"""@keksec_org: @realDonaldTrump Ivanka said it and you said it too, you'll be great for women. #MakeAmericaGreatAgain"""
67;wow openli lie who ahead gop race trump lead poll shame stopth;"""@SoCal4Trump: Wow @megynkelly. You openly LIE about who's ahead in the GOP race. Trump is LEADING in 99% of polls. Shameful... #StopTheLies"
68;nan;nan
69;android;android
70;android;android
71;interest presidenti race carson tri beat mom hammer beat carson poll;"""@Rick_Sa: @greta Interesting presidential race; Carson tries to beat his mom with a hammer, and @realDonaldTrump beats Carson in the polls!"
72;time find republican take democrat;"""@reganharycki: @realDonaldTrump it's about time we find a republican that can take on the democrats! URLi"""
73;marco rubio cant even handl credit card go abl handl u financ trump;"""@GrundleMan27: Marco Rubio can't even handle his own credit card how is he going to be able to handle the U.S. finances #trump"""
74;lead reuter nation poll;"""@AliceEngle3: @realDonaldTrump-huge lead in Reuters National poll URLi"""
75;rubio manchurian candid peopl ever becam presid;"""@rhinostate: .@realDonaldTrump @GrundleMan27 Rubio is a Manchurian Candidate. People will own him if he ever became president."""
76;florida ethic commiss advoc come hard rubio two peopl work said use wrong credit card sure;Florida Ethics Commission Advocate comes down hard on Rubio. So do two people who worked with him. Said he used the wrong credit card! Sure.
77;interview timm morn enjoy;Will be interviewed on @MariaBartiromo on @FoxBusiness at TIMME this morning! Enjoy.
78;bad report puff piec ben carson state carson tri solidifi lead easili sad;"Such bad reporting: A puff piece on Ben Carson in the @nytimes states that Carson ""is trying to solidify his lead."" But I am #1, easily! Sad"
79;ben carson want hit mother head hammer stabb friend pyramid built grain storag dont peopl get;With Ben Carson wanting to hit his mother on head with a hammer, stabb a friend and Pyramids built for grain storage - don't people get it?
80;carson admit friend name bob tri stabb bob save belt buckl longer exist bob wrong name;"Carson now admits his friend named ""Bob,"" who he tried to stabb (Bob was saved by his belt buckle!), no longer exists as Bob. Wrong name!"
81;ben carson want hit mother head hammer stab friend pyramid built grain storag dont peopl get;With Ben Carson wanting to hit his mother on head with a hammer, stab a friend and Pyramids built for grain storage - don't people get it?
82;carson admit friend name bob tri stab bob save belt buckl longer exist bob wrong name;"Carson now admits his friend named ""Bob,"" who he tried to stab (Bob was saved by his belt buckle!), no longer exists as Bob. Wrong name!"
83;trump talk week ago possibl rubio idea;"""@CASuperrunner: @cu_mr2ducks @FoxNews @foxnewspolitics  Trump talked about this weeks ago as a possibility .... this is not Rubio's idea"""
84;interview new day timm enjoy;I will be interviewed on @CNN New Day at TIMME  Enjoy!
85;funni donald live rentfre lil marco head;"""@LarrySchweikart: @peddoc63 @RickCanton @realDonaldTrump @marcorubio Funny. The Donald living rent-free in lil Marco's head"""
86;stop interrupt trumppleaseh correct everyth;"""@Karentalk: @CNNPolitics @realDonaldTrump Stop interrupting Trump..Please..He is CORRECT ON EVERYTHING.."""
87;choic finish great interview cnn pathet question cuomo trump clear air;"""@LindaRicker6: My choice @realDonaldTrump just finished a great interview on CNN. Pathetic questions from Cuomo but Trump cleared the air."""
88;wow trump kick as cuomo man mr trump certainli lamb chop rubio;"""@AngelaDale143: @realDonaldTrump @CNN wow, did Trump kick ass with Cuomo! You are the man, Mr. Trump; certainly not the lamb chop, Rubio."""
89;pew poll hold command lead;"""@realbigstriper: @ChrisCuomo Pew poll: @realDonaldTrump holds commanding lead @CNNPolitics URLi"""
90;serious cuomo hate donaldtrump pathet interview usual plea dont go anywher mr trump america need;"""@Lisa_Steen: seriously Cuomo hates DonaldTrump he was a pathetic interviewer AS USUAL! Please don't go anywhere Mr Trump AMERICA NEEDS YOU"""
91;awesom bos trump;"""@Tea4Freedom: @realDonaldTrump @CNN That was awesome, boss! #trump2016"""
92;great interview newday makeamericagreatagain;"""@Nay_2xTimes: Great interview on #NewDay @realDonaldTrump #MakeAmericaGreatAgain"""
93;great job mr trumpkept em topic got messag though;"""@AJ_Nix: @realDonaldTrump @CNN Great job Mr Trump,,,Kept em on topic,, Got your message though."""
94;trump even sharper last weekyou beauti;"""@jpm05880: @realDonaldTrump @CNN TRUMP EVEN SHARPER THAN LAST WEEK!!YOU ARE BEAUTIFUL..."""
95;trump shut cuomo get go win cuomo tri sleazi trick epic fail unprofession;"""@WMikeWood: @cnn Trump Shuts down Cuomo. ""I am not getting out."" I am going to win. Cuomo tries sleazy tricks . Epic Fail. Unprofessional."""
96;fire support trump;"""@CPO_Mark_2010: @realDonaldTrump is fired up on @cnn!!! So are your supporters!! #Trump2016"""
97;great interview trump;"""@SteveBrainard1: @realDonaldTrump @CNN great interview Trump!"""
98;vote;"""@kitkat123frank: @realDonaldTrump @CNN @SpecialKMB1969. You have my vote"""
99;wayn pleasant surpriseso nice thank much;.@WayneNewtonMrLV  Wayne, such a pleasant surprise--so nice. Thank you very much.
100;mani polit correct fool countri get back work stop wast time energi nonsens;"So many ""politically correct"" fools in our country. We have to all get back to work and stop wasting time and energy on nonsense!"
101;megyn kelli quot could see blood come eye blood come wherev nose got wthought;"Re Megyn Kelly quote: ""you could see there was blood coming out of her eyes, blood coming out of her wherever"" (NOSE). Just got on w/thought"
102;miss thank support polit correct kill countri weak;".@redstate I miss you all, and thanks for all of your support. Political correctness is killing our country. ""weakness."""
103;wow cnn said donald trump debat connect best audienc also time drudg newsmax nytim;Wow, CNN just said that Donald Trump won the DEBATE, connected best with audience. Also, Time, Drudge, Newsmax, N.Y.Times and more!
104;ost univers support trump debat consistantli fight trump win got rate;"ost universal support that ""Trump won the debate."" Only @FoxNews is consistantly fighting the Trump win, and I got them the ratings!"
105;small crowd today atlanta peopl angri ewerickson major sleaz buffoon save time money;Small crowds at @RedState today in Atlanta. People were very angry at EWErickson, a major sleaze and buffoon who has saved me time and money
106;somebodi aptitud convict buy fake news fail either run correctli let fold digniti;Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!
107;countri need strong border extrem vet look happen europ inde world horribl mess;Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!
108;sad case total embarrass famili announc continu spend trump hit ad;.@JebBush is a sad case. A total embarrassment to both himself and his family, he just announced he will continue to spend on Trump hit ads!
109;low energi stiff focu special interest money mani peopl ahead poll chanc;".@JebBush is a low energy ""stiff"" who should focus his special interest money on the many people ahead of him in the polls. Has no chance!"
110;hillari clinton said ok ban muslim israel build wall ok u must vigil;Hillary Clinton said that it is O.K. to ban Muslims from Israel by building a WALL, but not O.K. to do so in the U.S. We must be vigilant!
111;hillari clinton doesnt strength stamen presid jeb bush low energi individu hillari much better;Hillary Clinton doesn't have the strength or stamina to be president. Jeb Bush is a low energy individual, but Hillary is not much better!
112;hope bill clinton start talk woman issu voter see hypocrit hillari abus woman;I hope Bill Clinton starts talking about women's issues so that voters can see what a hypocrite he is and how Hillary abused those women!
113;look money special interest lobbyist give candid bewar candid mere puppet;When I look at all of the money the special interests and lobbyists are giving to candidates, beware - the candidates are mere puppets $$$$!
114;rememb selffund campaign one either parti im control lobbyist special interestsonli usa;Remember, I am self-funding my campaign, the only one in either party. I'm not controlled by lobbyists or special interests-only the U.S.A.!
115;head biloxi mississippi massiv crowd expect thank support votetrump;Heading to Biloxi, Mississippi. Massive crowds expected. Thank you for your support! #VoteTrump2016 URLi
116;arriv mississippi ralli word crowd overflow massiv amaz even;Just arrived in Mississippi for the rally. Word is that the crowd is overflowing and massive. Will be an amazing evening!
117;interview timm;Will be interviewed on @foxandfriends at TIMME 
118;announc lead big new poll shown week timm show;.@GStephanopoulos just announced that I am leading  BIG in the new @ABC Poll which will be shown on This Week at TIMME  I will be on show
119;big new poll announc timm week interview show;Big new @ABC Poll to be announced at TIMME  on This Week with @GStephanopoulos. I will be interviewed on show!
120;timm;.@foxandfriends  at TIMME 
121;great poll number beat hillari clinton one one thank;Great poll numbers all over and beating Hillary Clinton one on one. Thank you!
122;syrian refuge caught tri get u southern border mani made need wall;13 Syrian refugees were caught trying to get into the U.S. through the Southern Border. How many made it?  WE NEED THE WALL!
123;better get tough radic islam terrorist get tough life safeti wonder countri jeopardi;We better get tough with RADICAL ISLAMIC TERRORISTS, and get tough now, or the life and safety of our wonderful country will be in jeopardy!
124;great poll number thank makeamericagreatagain trump;Great poll numbers! Thank you! #MakeAmericaGreatAgain #Trump2016 URLi
125;go jindal also lost la governor race politician bewar;"""@heiressarts: @realDonaldTrump By going after you, Jindal also lost the LA governor race! Politicians Beware."
126;;"""@SeanSean252: @WayneDupreeShow @Rockprincess818 @CheriJacobus    URLi"""
127;clinton trustedhow mani x allow disgrac countri noclintoninwheveragain;"""@jakub_lisa:  @HillaryClinton A Clinton Cannot be trusted!How many x's do we allow them to disgrace this country? #NoClintonInWHEverAgain"""
128;trump epitom integr good spirit forthright honesti pull punch call spade spade diggin;"""@drewtheg:  Trump is the epitome of integrity, good spirit, forthright honesty... you pull no punches and call a spade a spade. diggin it!"""
129;pari attack made donald trump stronger interest;"""@TheFix: The Paris attacks have only made Donald Trump stronger URLi URLi"" Very interesting!"
130;need trump obama isnt protect american;"""@MJP1370: @realDonaldTrump @TheFix @pbump We need Trump now! Obama isn't protecting Americans !!"""
131;report one mention nation databas first donaldtrump report honest news;"""@bloggerjulie: @FoxNews The reporter is the one who mentioned the national database FIRST and not DonaldTrump. Y not report HONEST NEWS?"""
132;script great world chang leader aris written amp mr trump;"""@jrpantiques: @realDonaldTrump @TheFix @pbump THE SCRIPT FOR A GREAT WORLD CHANGING LEADER TO ARISE HAS BEEN WRITTEN &amp; IT WAS FOR MR. TRUMP"
133;trump gave great speech ala what import protest wouldnt give folk sec attn;"""@ktd101551: @CNNPolitics Trump gave a great speech in Ala. What's more important a protester? I wouldn't give these folks 1 sec of attn"""
134;crippledamerica excel resourc race teamtrump trump makeamericagreatagain;"""@ny_conservative:  @BarbMuenchen #CrippledAmerica is an excellent resource for the 2016 race #TeamTrump #Trump2016 #MakeAmericaGreatAgain"""
135;hillari clinton weak illeg immigr among mani thing strong corrupt corrupt she best;Hillary Clinton is weak on illegal immigration, among many other things. She is strong on corruption - corruption is what she's best at!
136;thank nice comment recent especi famili amp greatli appreci kind word;".@MatthewJDowd thank you for the nice comments recently, especially on @BarbaraJWalters. My family &amp; I greatly appreciate your kind words."
137;bencarson lead poll iowa much monsanto corn creat issu brain trump gop;"""@mygreenhippo #BenCarson is now leading in the #polls in #Iowa. Too much #Monsanto in the #corn creates issues in the brain? #Trump #GOP"""
138;trump near day top via hill;"""Trump Nears 100 days on Top"" via The Hill URLi"
139;chriswallac interview sunday highest rate sinc feb congratul;#ChrisWallace, who interviewed me on Sunday, had his highest ratings since Feb of '09. Congratulations!  URLi
140;hillari horribl job benghazihear read script pathet leader;"""@toddinwichita @realDonaldTrump Hillary is doing a HORRIBLE job at #BenghaziHearings reading from the script. #pathetic . She is no leader"""
141;joe thank run;Joe, thanks for not running! URLi
142;young intern accident retweet apolog;The young intern who accidentally did a Retweet apologizes.
143;thank stand vet take care give much;"""@dpdax @realDonaldTrump Thanks for standing for Vets Take care of those that give so much"""
144;look way crook hillari handl email case total mess unfit presid bad judgement;Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!
145;wow lead poll gone point two week mostli crook hillari blowup;Wow, now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks, mostly before the Crooked Hillary blow-up!
146;crook hillari allow run presid delet email get subpoena u congress rig;Crooked Hillary should not be allowed to run for president. She deleted 33,000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!
147;thank togeth makeamericagreatagain;Thank you! Together we will #MakeAmericaGreatAgain! URLi
148;interview tonight enjoy timm;I will be interviewed tonight on @seanhannity - Enjoy!  TIMME 
149;speak great journey republican nomin timm movement toward countri win continu;I will be speaking about our great journey to the Republican nomination at TIMME  The movement toward a country that WINS again continues
150;thank montana trump;Thank you Montana! #Trump2016 URLi URLi
151;thank new jersey trump;Thank you New Jersey! #Trump2016 URLi URLi
152;thank south dakota trump;Thank you South Dakota! #Trump2016  URLi URLi
153;thank new mexico trump;Thank you New Mexico! #Trump2016 URLi URLi
154;thank california trump;Thank you California! #Trump2016  URLi URLi
155;crook h nasti sander support behind close door own wall st politician hrc;Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you. URLi
156;debat decid without watch total onesid spin follow despit realli bad microphon;"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone."
157;socal commiss presidenti debat admit u djt audio amp sound level bad didnt fix;"The so-called Commission on Presidential Debates admitted to us that the DJT audio &amp; sound level was very bad. So why didn't they fix it?"
158;wow saw realli bad rate peopl dont want watch bad product build crook hillari;Wow, just saw the really bad @CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.
159;head pennsylvania big ralli tonight make america great;Heading to Pennsylvania for a big rally tonight. We will MAKE AMERICA GREAT AGAIN!
160;great cincinnati ohio last night thank washington dc trump americafirst;Great being in Cincinnati, Ohio last night- thank you! Off to Washington D.C. now. #Trump2016 #AmericaFirst URLi
161;leav dc great meet republican hous senat interest day peopl love countri;Just leaving D.C. Had great meetings with Republicans in the House and Senate. Very interesting day! These are people who love our country!
162;wow poll number announc gone roof;Wow, my poll numbers have just been announced and have gone through the roof!
163;interview morn timm much talk;I will be interviewed on @foxandfriends this morning at TIMME. So much to talk about!
164;visa system broken like much el countri better get fix realli fast make america great;Our VISA system is broken, like so much else in our country. We better get it fixed really fast. MAKE AMERICA GREAT AGAIN!
165;decid postpon trip israel schedul meet later date becom presid u;I have decided to postpone my trip to Israel and to schedule my meeting with @Netanyahu at a later date after I become President of the U.S.
166;;.@foxandfriends NOW!
167;unit kingdom tri hard disguis massiv muslim problem everybodi wise happen sad honest;The United Kingdom is trying hard to disguise their massive  Muslim problem. Everybody is wise to what is happening, very sad! Be honest.
168;thank respect columnist kati hopkin daili power write uk muslim problem;Thank you to respected columnist Katie Hopkins of Daily URLi for her  powerful writing on the U.K.'s Muslim problems.
169;politician uk watch kati hopkin daili mani peopl uk agre;The politicians of the U.K. should watch Katie Hopkins of Daily URLi on @FoxNews. Many people in the U.K. agree with me!
170;huge disappoint see constantli attack donaldtrump becom almost unbear watch show;"""@Sharp_Trident: A huge disappointment to see @megynkelly constantly attack DonaldTrump. It has become almost unbearable to watch her show."""
171;morn around timm likewis around timm figur;I will be doing @GMA @GStephanopoulos this morning at around TIMME. Likewise, I will be doing @Morning_Joe at around TIMME. Figure it out!
172;make wan na watch debat know go treat trump unfair;"""@laurencristmann:  @Sharp_Trident @megynkelly it makes me not wanna watch debate because I know they are going to treat Trump unfair"""
173;interview timm enjoy;I will be interviewed by @MariaBartiromo on @MorningsMaria  @FoxBusiness at TIMME  Enjoy.
174;rt video announc power endors come today;RT @Morning_Joe: VIDEO: @realDonaldTrump announces 'a very powerful endorsement' will be coming today.  URLi
175;donald trump retain nation lead new abc newswapo poll;"""Donald Trump retains national lead in new ABC News/WaPo poll with 37%: URLi"" URLi"
176;hit new height nation poll;"""@realDonaldTrump hits new heights in national poll at 41%"" URLi"
177;idiot bob plaat cnn delud cruz favor rate one like vote trump instead;"""@xXFlame: .@bobvanderplaats Idiot Bob Plaats on CNN is DELUDED! Cruz's favorability ratings are 0%, NO ONE LIKES HIM. VOTE TRUMP INSTEAD!"""
178;cruz done;"""@AynsFriend: @bobvanderplaats CRUZ IS DONE @CNN @ChrisCuomo"""
179;next presid isnt ur stage next presid;"""@puttster71: @bobvanderplaats The next president isn't on ur stage. @realDonaldTrump is the next president."""
180;end common core disast makeamericagreatagain trump;I will end common core. It's a disaster. URLi #MakeAmericaGreatAgain #Trump2016 URLi
181;doesnt phoni tell follow time ask famili stay hotelsdidnt like pay;Why doesn't phony  @bobvanderplaats tell his followers all the times he asked for him and his family to stay at my hotels-didn't like paying
182;great peopl iowa find iacaucu locat import vote makeamericagreatagain;For the great people of Iowa, find your #IACaucus location at URLi - so important to vote! #MakeAmericaGreatAgain
183;makeamericagreatagain trump;#MakeAmericaGreatAgain #Trump2016  URLi
